,harmonised_code,teryt,teryt_woj,teryt_pow,nuts3_code,nuts_0,nuts_1,nuts_2,nuts_3,pow_name,pow_prefix,woj_name,woj_prefix,nuts_1_name,nuts_1_prefix,nuts_2_name,nuts_2_prefix,nuts3_name,nuts_3_prefix
63,T_0620,T_0620,6,20,PL812,PL,8,1,2,zamojski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,chełmsko-zamojski,podregion
64,T_0662,T_0662,6,62,PL812,PL,8,1,2,Chełm,powiat m.,lubelskie,województwo,wschodni,makroregion,lubelskie,region,chełmsko-zamojski,podregion
65,T_0664,T_0664,6,64,PL812,PL,8,1,2,Zamość,powiat m.,lubelskie,województwo,wschodni,makroregion,lubelskie,region,chełmsko-zamojski,podregion
66,T_0605,T_0605,6,5,PL815,PL,8,1,5,janowski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,puławski,podregion
67,T_0607,T_0607,6,7,PL815,PL,8,1,5,kraśnicki,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,puławski,podregion
68,T_0611,T_0611,6,11,PL815,PL,8,1,5,łukowski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,puławski,podregion
69,T_0612,T_0612,6,12,PL815,PL,8,1,5,opolski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,puławski,podregion
70,T_0614,T_0614,6,14,PL815,PL,8,1,5,puławski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,puławski,podregion
71,T_0616,T_0616,6,16,PL815,PL,8,1,5,rycki,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,puławski,podregion
72,T_0608,T_0608,6,8,PL814,PL,8,1,4,lubartowski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,lubelski,podregion
73,T_0609,T_0609,6,9,PL814,PL,8,1,4,lubelski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,lubelski,podregion
74,T_0610,T_0610,6,10,PL814,PL,8,1,4,łęczyński,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,lubelski,podregion
75,T_0617,T_0617,6,17,PL814,PL,8,1,4,świdnicki,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,lubelski,podregion
76,T_0663,T_0663,6,63,PL814,PL,8,1,4,Lublin,powiat m.,lubelskie,województwo,wschodni,makroregion,lubelskie,region,lubelski,podregion
77,T_0801,T_0801,8,1,PL431,PL,4,3,1,gorzowski,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,gorzowski,podregion
78,T_0803,T_0803,8,3,PL431,PL,4,3,1,międzyrzecki,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,gorzowski,podregion
79,T_0805,T_0805,8,5,PL431,PL,4,3,1,słubicki,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,gorzowski,podregion
80,T_0806,T_0806,8,6,PL431,PL,4,3,1,strzelecko-drezdenecki,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,gorzowski,podregion
81,T_0807,T_0807,8,7,PL431,PL,4,3,1,sulęciński,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,gorzowski,podregion
82,T_0861,T_0861,8,61,PL431,PL,4,3,1,Gorzów Wielkopolski,powiat m.,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,gorzowski,podregion
83,T_0802,T_0802,8,2,PL432,PL,4,3,2,krośnieński,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,zielonogórski,podregion
84,T_0804,T_0804,8,4,PL432,PL,4,3,2,nowosolski,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,zielonogórski,podregion
85,T_0808,T_0808,8,8,PL432,PL,4,3,2,świebodziński,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,zielonogórski,podregion
86,T_0809,T_0809,8,9,PL432,PL,4,3,2,zielonogórski,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,zielonogórski,podregion
87,T_0810,T_0810,8,10,PL432,PL,4,3,2,żagański,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,zielonogórski,podregion
88,T_0811,T_0811,8,11,PL432,PL,4,3,2,żarski,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,zielonogórski,podregion
89,T_0812,T_0812,8,12,PL432,PL,4,3,2,wschowski,powiat,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,zielonogórski,podregion
90,T_0862,T_0862,8,62,PL432,PL,4,3,2,Zielona Góra,powiat m.,lubuskie,województwo,północno-zachodni,makroregion,lubuskie,region,zielonogórski,podregion
91,T_1001,T_1001,10,1,PL713,PL,7,1,3,bełchatowski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,piotrkowski,podregion
92,T_1007,T_1007,10,7,PL713,PL,7,1,3,opoczyński,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,piotrkowski,podregion
93,T_1010,T_1010,10,10,PL713,PL,7,1,3,piotrkowski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,piotrkowski,podregion
94,T_1012,T_1012,10,12,PL713,PL,7,1,3,radomszczański,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,piotrkowski,podregion
95,T_1016,T_1016,10,16,PL713,PL,7,1,3,tomaszowski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,piotrkowski,podregion
96,T_1062,T_1062,10,62,PL713,PL,7,1,3,Piotrków Trybunalski,powiat m.,łódzkie,województwo,centralny,makroregion,łódzkie,region,piotrkowski,podregion
97,T_1002,T_1002,10,2,PL715,PL,7,1,5,kutnowski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,skierniewicki,podregion
98,T_1004,T_1004,10,4,PL715,PL,7,1,5,łęczycki,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,skierniewicki,podregion
99,T_1005,T_1005,10,5,PL715,PL,7,1,5,łowicki,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,skierniewicki,podregion
100,T_1013,T_1013,10,13,PL715,PL,7,1,5,rawski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,skierniewicki,podregion
101,T_1015,T_1015,10,15,PL715,PL,7,1,5,skierniewicki,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,skierniewicki,podregion
102,T_1063,T_1063,10,63,PL715,PL,7,1,5,Skierniewice,powiat m.,łódzkie,województwo,centralny,makroregion,łódzkie,region,skierniewicki,podregion
103,T_1003,T_1003,10,3,PL714,PL,7,1,4,łaski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,sieradzki,podregion
104,T_1009,T_1009,10,9,PL714,PL,7,1,4,pajęczański,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,sieradzki,podregion
105,T_1011,T_1011,10,11,PL714,PL,7,1,4,poddębicki,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,sieradzki,podregion
106,T_1014,T_1014,10,14,PL714,PL,7,1,4,sieradzki,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,sieradzki,podregion
107,T_1017,T_1017,10,17,PL714,PL,7,1,4,wieluński,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,sieradzki,podregion
108,T_1018,T_1018,10,18,PL714,PL,7,1,4,wieruszowski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,sieradzki,podregion
109,T_1019,T_1019,10,19,PL714,PL,7,1,4,zduńskowolski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,sieradzki,podregion
110,T_1006,T_1006,10,6,PL712,PL,7,1,2,łódzki wschodni,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,łódzki,podregion
111,T_1008,T_1008,10,8,PL712,PL,7,1,2,pabianicki,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,łódzki,podregion
112,T_1020,T_1020,10,20,PL712,PL,7,1,2,zgierski,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,łódzki,podregion
113,T_1021,T_1021,10,21,PL712,PL,7,1,2,brzeziński,powiat,łódzkie,województwo,centralny,makroregion,łódzkie,region,łódzki,podregion
114,T_1061,T_1061,10,61,PL711,PL,7,1,1,Łódź,powiat m.,łódzkie,województwo,centralny,makroregion,łódzkie,region,miasto łódź,podregion
115,T_1201,T_1201,12,1,PL214,PL,2,1,4,bocheński,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,krakowski,podregion
116,T_1206,T_1206,12,6,PL214,PL,2,1,4,krakowski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,krakowski,podregion
117,T_1208,T_1208,12,8,PL214,PL,2,1,4,miechowski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,krakowski,podregion
118,T_1209,T_1209,12,9,PL214,PL,2,1,4,myślenicki,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,krakowski,podregion
119,T_1214,T_1214,12,14,PL214,PL,2,1,4,proszowicki,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,krakowski,podregion
120,T_1219,T_1219,12,19,PL214,PL,2,1,4,wielicki,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,krakowski,podregion
121,T_1202,T_1202,12,2,PL217,PL,2,1,7,brzeski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,tarnowski,podregion
122,T_1204,T_1204,12,4,PL217,PL,2,1,7,dąbrowski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,tarnowski,podregion
123,T_1216,T_1216,12,16,PL217,PL,2,1,7,tarnowski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,tarnowski,podregion
124,T_1263,T_1263,12,63,PL217,PL,2,1,7,Tarnów,powiat m.,małopolskie,województwo,południowy,makroregion,małopolskie,region,tarnowski,podregion
125,T_1203,T_1203,12,3,PL21A,PL,2,1,A,chrzanowski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,oświęcimski,podregion
126,T_1212,T_1212,12,12,PL21A,PL,2,1,A,olkuski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,oświęcimski,podregion
127,T_1213,T_1213,12,13,PL21A,PL,2,1,A,oświęcimski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,oświęcimski,podregion
128,T_1218,T_1218,12,18,PL21A,PL,2,1,A,wadowicki,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,oświęcimski,podregion
129,T_1205,T_1205,12,5,PL218,PL,2,1,8,gorlicki,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,nowosądecki,podregion
130,T_1207,T_1207,12,7,PL218,PL,2,1,8,limanowski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,nowosądecki,podregion
131,T_1210,T_1210,12,10,PL218,PL,2,1,8,nowosądecki,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,nowosądecki,podregion
132,T_1262,T_1262,12,62,PL218,PL,2,1,8,Nowy Sącz,powiat m.,małopolskie,województwo,południowy,makroregion,małopolskie,region,nowosądecki,podregion
133,T_1211,T_1211,12,11,PL219,PL,2,1,9,nowotarski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,nowotarski,podregion
134,T_1215,T_1215,12,15,PL219,PL,2,1,9,suski,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,nowotarski,podregion
135,T_1217,T_1217,12,17,PL219,PL,2,1,9,tatrzański,powiat,małopolskie,województwo,południowy,makroregion,małopolskie,region,nowotarski,podregion
