year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
1998,I_25,Lleida,419.0,1244.0
1998,I_26,La Rioja,277.0,1032.0
1998,I_27,Lugo,251.0,1094.0
1998,I_28,Madrid,7399.0,21323.0
1998,I_29,Malaga,1570.0,4941.0
1998,I_30,Murcia,1071.0,5338.0
1998,I_31,Navarra,637.0,2099.0
1998,I_32,Ourense,277.0,1032.0
1998,I_33,Asturias,1271.0,3357.0
1998,I_34,Palencia,137.0,473.0
1998,I_35,Las Palmas,1358.0,2777.0
1998,I_36,Pontevedra,1020.0,3396.0
1998,I_37,Salamanca,259.0,1203.0
1998,I_38,Canarias,1238.0,2718.0
1998,I_39,Cantabria,664.0,1857.0
1998,I_40,Segovia,139.0,513.0
1998,I_41,Sevilla,1736.0,7936.0
1998,I_42,Soria,67.0,314.0
1998,I_43,Tarragona,921.0,2193.0
1998,I_44,Teruel,70.0,443.0
1998,I_45,Toledo,319.0,2242.0
1998,I_46,Valencia,3053.0,9569.0
1998,I_47,Valladolid,435.0,1825.0
1998,I_48,Bizkaia,1597.0,3760.0
1998,I_49,Zamora,119.0,586.0
1998,I_50,Zaragoza,918.0,3466.0
1998,I_51,Ceuta,152.0,162.0
1998,I_52,Melilla,300.0,151.0
1999,I_01,Alava,440.0,911.0
1999,I_02,Albacete,307.0,1565.0
1999,I_03,Alicante,1755.0,5771.0
1999,I_04,Almeria,519.0,2225.0
1999,I_05,Avila,81.0,527.0
1999,I_06,Badajoz,448.0,2758.0
1999,I_07,Illes Balears,1534.0,2969.0
1999,I_08,Barcelona,8137.0,16841.0
1999,I_09,Burgos,260.0,1142.0
1999,I_10,Caceres,233.0,1621.0
1999,I_11,Cadiz,1200.0,4905.0
1999,I_12,Castellon,624.0,1990.0
1999,I_13,Ciudad Real,267.0,1995.0
1999,I_14,Cordoba,546.0,3657.0
1999,I_15,A Coruna,1177.0,3796.0
1999,I_16,Cuenca,109.0,690.0
1999,I_17,Girona,730.0,1547.0
1999,I_18,Granada,744.0,3461.0
1999,I_19,Guadalajara,197.0,761.0
1999,I_20,Gipuzkoa,997.0,2233.0
1999,I_21,Huelva,404.0,2106.0
1999,I_22,Huesca,174.0,637.0
1999,I_23,Jaen,366.0,2940.0
1999,I_24,Leon,460.0,1501.0
1999,I_25,Lleida,487.0,1295.0
1999,I_26,La Rioja,314.0,981.0
1999,I_27,Lugo,290.0,1003.0
1999,I_28,Madrid,7462.0,21589.0
1999,I_29,Malaga,1622.0,5219.0
1999,I_30,Murcia,1125.0,5529.0
1999,I_31,Navarra,642.0,2199.0
1999,I_32,Ourense,305.0,975.0
1999,I_33,Asturias,1357.0,3378.0
1999,I_34,Palencia,147.0,563.0
1999,I_35,Las Palmas,1287.0,2910.0
1999,I_36,Pontevedra,1007.0,3394.0
1999,I_37,Salamanca,319.0,1216.0
1999,I_38,Canarias,1236.0,2592.0
1999,I_39,Cantabria,689.0,1922.0
1999,I_40,Segovia,139.0,519.0
1999,I_41,Sevilla,1716.0,8052.0
1999,I_42,Soria,70.0,292.0
1999,I_43,Tarragona,964.0,2190.0
1999,I_44,Teruel,96.0,417.0
1999,I_45,Toledo,336.0,2350.0
1999,I_46,Valencia,3020.0,9338.0
1999,I_47,Valladolid,461.0,1886.0
1999,I_48,Bizkaia,1484.0,3736.0
1999,I_49,Zamora,128.0,578.0
1999,I_50,Zaragoza,905.0,3472.0
1999,I_51,Ceuta,138.0,158.0
1999,I_52,Melilla,394.0,152.0
2000,I_01,Alava,440.0,1030.0
2000,I_02,Albacete,319.0,1545.0
2000,I_03,Alicante,1827.0,6171.0
2000,I_04,Almeria,564.0,2250.0
2000,I_05,Avila,93.0,542.0
2000,I_06,Badajoz,474.0,2968.0
2000,I_07,Illes Balears,1531.0,2968.0
2000,I_08,Barcelona,8598.0,17384.0
2000,I_09,Burgos,315.0,1241.0
2000,I_10,Caceres,272.0,1654.0
2000,I_11,Cadiz,1222.0,5297.0
2000,I_12,Castellon,585.0,2280.0
2000,I_13,Ciudad Real,277.0,2114.0
2000,I_14,Cordoba,547.0,3815.0
2000,I_15,A Coruna,1172.0,3867.0
2000,I_16,Cuenca,133.0,671.0
2000,I_17,Girona,761.0,1626.0
2000,I_18,Granada,790.0,3753.0
2000,I_19,Guadalajara,208.0,768.0
2000,I_20,Gipuzkoa,1074.0,2406.0
2000,I_21,Huelva,404.0,2197.0
2000,I_22,Huesca,188.0,667.0
2000,I_23,Jaen,348.0,3055.0
2000,I_24,Leon,480.0,1460.0
2000,I_25,Lleida,456.0,1231.0
2000,I_26,La Rioja,305.0,1134.0
2000,I_27,Lugo,269.0,1020.0
2000,I_28,Madrid,7960.0,22671.0
2000,I_29,Malaga,1721.0,5276.0
2000,I_30,Murcia,1157.0,5785.0
2000,I_31,Navarra,787.0,2182.0
2000,I_32,Ourense,308.0,991.0
2000,I_33,Asturias,1460.0,3474.0
2000,I_34,Palencia,167.0,595.0
2000,I_35,Las Palmas,1274.0,2746.0
2000,I_36,Pontevedra,927.0,3427.0
