,election_date,election_type,harmonised_code,harmonised_name,pc1
89,1996_04_21,camera,ITI16,livorno,-0.15408766750824868
90,1996_04_21,camera,ITI17,pisa,-0.1336824055983751
91,1996_04_21,camera,ITI18,arezzo,-0.13097764457551292
92,1996_04_21,camera,ITI19,siena,-0.1715166815275643
93,1996_04_21,camera,ITI1A,grosseto,-0.12120015361317119
94,1996_04_21,camera,ITI21,perugia,-0.13580519498755939
95,1996_04_21,camera,ITI22,terni,-0.13565664969331703
96,1996_04_21,camera,ITI31,pesaro e urbino,-0.12045930427797887
97,1996_04_21,camera,ITI32,ancona,-0.10621548278163297
98,1996_04_21,camera,ITI33,macerata,-0.0844374194405473
99,1996_04_21,camera,ITI34,ascoli piceno,-0.09802801201021667
100,1996_04_21,camera,ITI35,fermo,-0.1034337191454188
101,1996_04_21,camera,ITI41,viterbo,-0.10854752872477719
102,1996_04_21,camera,ITI42,rieti,-0.10222175857982174
103,1996_04_21,camera,ITI43,roma,-0.13367893794661886
104,1996_04_21,camera,ITI44,latina,-0.07716308229846333
105,1996_04_21,camera,ITI45,frosinone,-0.08153485952274746
106,1999_06_13,european,ITC11,torino,0.03456894170032307
107,1999_06_13,european,ITC12,vercelli,0.10048187244820384
108,1999_06_13,european,ITC13,biella,0.09505331062149794
109,1999_06_13,european,ITC14,verbanocusioossola,0.093590098138132
110,1999_06_13,european,ITC15,novara,0.1051530331189757
111,1999_06_13,european,ITC16,cuneo,0.1690449533746396
112,1999_06_13,european,ITC17,asti,0.13857575209380793
113,1999_06_13,european,ITC18,alessandria,0.05860437176303455
114,1999_06_13,european,ITC20,valle daosta,0.07314240388570924
115,1999_06_13,european,ITC31,imperia,0.0927007707705798
116,1999_06_13,european,ITC32,savona,0.01685046675197841
117,1999_06_13,european,ITC33,genova,-0.04851306300211074
118,1999_06_13,european,ITC34,la spezia,-0.09507993148293271
119,1999_06_13,european,ITC41,varese,0.15209850275157627
120,1999_06_13,european,ITC42,como,0.17065955004850017
121,1999_06_13,european,ITC43,lecco,0.13176134682007912
122,1999_06_13,european,ITC44,sondrio,0.19263317994556356
123,1999_06_13,european,ITC46,bergamo,0.1593620074988548
124,1999_06_13,european,ITC47,brescia,0.11856516522222657
125,1999_06_13,european,ITC48,pavia,0.09401636027627432
126,1999_06_13,european,ITC49,lodi,0.08336139513932658
127,1999_06_13,european,ITC4A,cremona,0.0729057848692118
128,1999_06_13,european,ITC4B,mantova,0.010955909874463664
129,1999_06_13,european,ITC4C,milano,0.06913574098706071
130,1999_06_13,european,ITC4D,monza e della brianza,0.11979664715214874
131,1999_06_13,european,ITF11,laquila,0.013612969020172175
132,1999_06_13,european,ITF12,teramo,-0.04758964758538997
133,1999_06_13,european,ITF13,pescara,-0.009504263294128533
134,1999_06_13,european,ITF14,chieti,-0.010544993770027818
135,1999_06_13,european,ITF21,isernia,0.059006195018725636
136,1999_06_13,european,ITF22,campobasso,0.017899579144846463
137,1999_06_13,european,ITF31,caserta,0.021003224884320087
138,1999_06_13,european,ITF32,benevento,0.013238616014632729
139,1999_06_13,european,ITF33,napoli,0.0013800745648624606
140,1999_06_13,european,ITF34,avellino,0.0021685781897079867
141,1999_06_13,european,ITF35,salerno,0.02644949502955262
142,1999_06_13,european,ITF43,taranto,-5.887899562399281e-05
143,1999_06_13,european,ITF44,brindisi,0.022719289856589175
144,1999_06_13,european,ITF45,lecce,0.011346060297903091
145,1999_06_13,european,ITF46,foggia,-0.01200482919003557
146,1999_06_13,european,ITF47,bari,0.04979957825607191
147,1999_06_13,european,ITF48,barlettaandriatrani,0.05119303850633722
148,1999_06_13,european,ITF51,potenza,-0.06995627948375509
149,1999_06_13,european,ITF52,matera,-0.039718306371360104
150,1999_06_13,european,ITF61,cosenza,-0.006382565282087115
151,1999_06_13,european,ITF62,crotone,-0.07711167476096802
152,1999_06_13,european,ITF63,catanzaro,-0.03712979686447728
