year,election_date,election_type,region_code,reigion_name,vote_share,wage_index,civil_marriage_share
2004,2004_06_13,european,T_0201,bolesławiecki,0.08515794028559065,0.841,0.30414746543778803
2004,2004_06_13,european,T_0202,dzierżoniowski,0.07268464243845252,0.762,0.30787037037037035
2004,2004_06_13,european,T_0203,głogowski,0.0831615120274914,0.8490000000000001,0.3060428849902534
2004,2004_06_13,european,T_0204,górowski,0.07153965785381027,0.735,0.29651162790697677
2004,2004_06_13,european,T_0205,jaworski,0.07793963057516144,0.768,0.2965779467680608
2004,2004_06_13,european,T_0206,karkonoski,0.0847191011235955,0.757,0.3875432525951557
2004,2004_06_13,european,T_0207,kamiennogórski,0.09814281139929555,0.757,0.30416666666666664
2004,2004_06_13,european,T_0208,kłodzki,0.08130992404432823,0.7909999999999999,0.33746556473829203
2004,2004_06_13,european,T_0209,legnicki,0.05363061163000904,0.75,0.25301204819277107
2004,2004_06_13,european,T_0210,lubański,0.0961612039280704,0.75,0.34893617021276596
2004,2004_06_13,european,T_0211,lubiński,0.08779969449425516,1.618,0.36156351791530944
2004,2004_06_13,european,T_0212,lwówecki,0.2111310592459605,0.7929999999999999,0.35714285714285715
2004,2004_06_13,european,T_0213,milicki,0.0672322375397667,0.7390000000000001,0.15151515151515152
2004,2004_06_13,european,T_0214,oleśnicki,0.21085306967118878,0.752,0.24436741767764297
2004,2004_06_13,european,T_0215,oławski,0.08962795941375423,0.86,0.3147208121827411
2004,2004_06_13,european,T_0216,polkowicki,0.07805076693362291,0.97,0.30293159609120524
2004,2004_06_13,european,T_0217,strzeliński,0.06016423663482487,0.8490000000000001,0.2088888888888889
2004,2004_06_13,european,T_0218,średzki,0.07203227045716482,0.877,0.2508710801393728
2004,2004_06_13,european,T_0219,świdnicki,0.08227901484480432,0.866,0.3294270833333333
2004,2004_06_13,european,T_0220,trzebnicki,0.09625611572005956,0.831,0.2542857142857143
2004,2004_06_13,european,T_0221,wałbrzyski,0.08492452460301901,0.9129999999999999,0.46798029556650245
2004,2004_06_13,european,T_0222,wołowski,0.07560085184058411,0.815,0.2818181818181818
2004,2004_06_13,european,T_0223,wrocławski,0.08553908251183731,0.9259999999999999,0.27593818984547464
2004,2004_06_13,european,T_0224,ząbkowicki,0.06541783946423371,0.821,0.27796610169491526
2004,2004_06_13,european,T_0225,zgorzelecki,0.0890775762253956,1.217,0.40561224489795916
2004,2004_06_13,european,T_0226,złotoryjski,0.0711573386164768,0.8390000000000001,0.3127962085308057
2004,2004_06_13,european,T_0261,Jelenia Góra,0.08644801980198019,0.927,0.4740740740740741
2004,2004_06_13,european,T_0262,Legnica,0.08176648096564532,0.82,0.394
2004,2004_06_13,european,T_0264,Wrocław,0.10707433810610498,1.042,0.40758455756747525
2004,2004_06_13,european,T_0401,aleksandrowski,0.19115965959608788,0.7340000000000001,0.2762237762237762
2004,2004_06_13,european,T_0402,brodnicki,0.06708436858593497,0.763,0.1812227074235808
2004,2004_06_13,european,T_0403,bydgoski,0.08473944252819987,0.764,0.23370786516853934
2004,2004_06_13,european,T_0404,chełmiński,0.06630211893369788,0.8490000000000001,0.23985239852398524
2004,2004_06_13,european,T_0405,golubsko-dobrzyński,0.06318082788671024,0.7509999999999999,0.21666666666666667
2004,2004_06_13,european,T_0406,grudziądzki,0.057647364320955595,0.7490000000000001,0.22596153846153846
2004,2004_06_13,european,T_0407,inowrocławski,0.08388398486759142,0.825,0.24938271604938272
2004,2004_06_13,european,T_0408,lipnowski,0.08586403576383536,0.7090000000000001,0.21238938053097345
2004,2004_06_13,european,T_0409,mogileński,0.06332500891901534,0.747,0.18859649122807018
2004,2004_06_13,european,T_0410,nakielski,0.060660049206753205,0.769,0.24
2004,2004_06_13,european,T_0411,radziejowski,0.061801758973140004,0.755,0.16143497757847533
2004,2004_06_13,european,T_0412,rypiński,0.14150289017341042,0.76,0.25
2004,2004_06_13,european,T_0413,sępoleński,0.05575980392156863,0.721,0.17560975609756097
2004,2004_06_13,european,T_0414,świecki,0.07205609055583713,0.917,0.25925925925925924
2004,2004_06_13,european,T_0415,toruński,0.07755830822452851,0.767,0.2283653846153846
2004,2004_06_13,european,T_0416,tucholski,0.029444376000985584,0.736,0.2
2004,2004_06_13,european,T_0417,wąbrzeski,0.06609513274336283,0.7979999999999999,0.20245398773006135
2004,2004_06_13,european,T_0418,włocławski,0.06870913985386488,0.6759999999999999,0.21315192743764172
2004,2004_06_13,european,T_0419,żniński,0.05585012371862849,0.727,0.16991643454038996
2004,2004_06_13,european,T_0461,Bydgoszcz,0.11201157742402315,0.938,0.3701527614571093
2004,2004_06_13,european,T_0462,Grudziądz,0.1070389761489238,0.787,0.34368932038834954
2004,2004_06_13,european,T_0463,Toruń,0.09806725292533543,0.941,0.36436436436436437
2004,2004_06_13,european,T_0464,Włocławek,0.1019502510802289,0.924,0.35058430717863104
2004,2004_06_13,european,T_0601,bialski,0.05400813156138115,0.731,0.20186335403726707
2004,2004_06_13,european,T_0602,biłgorajski,0.07062464828362408,0.795,0.1435483870967742
2004,2004_06_13,european,T_0603,chełmski,0.06039738089862271,0.7929999999999999,0.2777777777777778
2004,2004_06_13,european,T_0604,hrubieszowski,0.051370910202833554,0.784,0.24819277108433735
2004,2004_06_13,european,T_0605,janowski,0.05601807802093244,0.76,0.13167259786476868
2004,2004_06_13,european,T_0606,krasnostawski,0.06351288056206089,0.778,0.22807017543859648
2004,2004_06_13,european,T_0607,kraśnicki,0.04417535598161229,0.794,0.22346368715083798
2004,2004_06_13,european,T_0608,lubartowski,0.07167004732927654,0.758,0.18421052631578946
2004,2004_06_13,european,T_0609,lubelski,0.08543782231910256,0.78,0.2039381153305204
2004,2004_06_13,european,T_0610,łęczyński,0.11963470319634703,1.345,0.2537764350453172
2004,2004_06_13,european,T_0611,łukowski,0.06455973223480947,0.722,0.14678899082568808
2004,2004_06_13,european,T_0612,opolski,0.05401796552561301,0.7959999999999999,0.20844327176781002
2004,2004_06_13,european,T_0613,parczewski,0.08593155893536121,0.767,0.23008849557522124
2004,2004_06_13,european,T_0614,puławski,0.1477266954533909,0.929,0.24363057324840764
2004,2004_06_13,european,T_0615,radzyński,0.07180671864472038,0.823,0.1681159420289855
2004,2004_06_13,european,T_0616,rycki,0.12083234807283046,0.775,0.2297734627831715
2004,2004_06_13,european,T_0617,świdnicki,0.12118295563916354,0.813,0.2553763440860215
2004,2004_06_13,european,T_0618,tomaszowski,0.04467673248161053,0.743,0.22813688212927757
2004,2004_06_13,european,T_0619,włodawski,0.08239148239148239,0.7759999999999999,0.2727272727272727
2004,2004_06_13,european,T_0620,zamojski,0.05747442147909085,0.693,0.19795221843003413
2004,2004_06_13,european,T_0661,Biała Podlaska,0.12132711699013336,0.828,0.20634920634920634
2004,2004_06_13,european,T_0662,Chełm,0.11941022407605005,0.818,0.35342465753424657
2004,2004_06_13,european,T_0663,Lublin,0.15031826545327961,0.9640000000000001,0.3052164261931188
2004,2004_06_13,european,T_0664,Zamość,0.1284989667480744,0.875,0.2571428571428571
2004,2004_06_13,european,T_0801,gorzowski,0.13031397610447346,0.922,0.34782608695652173
