year,election_date,election_type,region_code,reigion_name,vote_share,wage_index,civil_marriage_share
2011,2011_11_20,congresso,I_02,Albacete,0.5583449659745245,0.8657335308318715,0.5200605601816806
2011,2011_11_20,congresso,I_03,Alicante,0.5584683968936616,0.8324954138211097,0.6558181818181819
2011,2011_11_20,congresso,I_04,Almeria,0.582513823671037,0.7349477528135672,0.5328852616418627
2011,2011_11_20,congresso,I_05,Avila,0.6262948359317567,0.8732535557178902,0.4297872340425532
2011,2011_11_20,congresso,I_06,Badajoz,0.5125318680230687,0.7420143912689702,0.417779632721202
2011,2011_11_20,congresso,I_07,Illes Balears,0.5050228777382991,0.932776575949021,0.7580368098159509
2011,2011_11_20,congresso,I_08,Barcelona,0.21309232160521535,1.1735062371766112,0.788313064540546
2011,2011_11_20,congresso,I_09,Burgos,0.5522815633312871,1.059589385845752,0.5357766143106457
2011,2011_11_20,congresso,I_10,Caceres,0.5264669447000386,0.779542641609286,0.4592013888888889
2011,2011_11_20,congresso,I_11,Cadiz,0.47715781678847746,0.8478766617642493,0.47168894289185903
2011,2011_11_20,congresso,I_12,Castellon,0.5359083897403624,0.9100265030849309,0.6476345840130505
2011,2011_11_20,congresso,I_13,Ciudad Real,0.5598437101843201,0.8455894000807378,0.3812423873325213
2011,2011_11_20,congresso,I_14,Cordoba,0.4523957388890211,0.7464555709009113,0.368251698248123
2011,2011_11_20,congresso,I_15,A Coruna,0.5247621318853342,1.0162143722838834,0.5865244789142026
2011,2011_11_20,congresso,I_16,Cuenca,0.5669733695431883,0.8143363819039794,0.45161290322580644
2011,2011_11_20,congresso,I_17,Girona,0.16501815908153628,0.9547704063542541,0.7939019683519877
2011,2011_11_20,congresso,I_18,Granada,0.4722754067624253,0.8259939130089169,0.4673875130798744
2011,2011_11_20,congresso,I_19,Guadalajara,0.5473469450367393,1.0582475714709743,0.592156862745098
2011,2011_11_20,congresso,I_21,Huelva,0.44464907053192104,0.6877622147859972,0.4535423925667828
2011,2011_11_20,congresso,I_22,Huesca,0.4965584636301835,0.9322523549674552,0.6003159557661928
2011,2011_11_20,congresso,I_23,Jaen,0.4591291674075113,0.6829249594525478,0.3331811958010041
2011,2011_11_20,congresso,I_24,Leon,0.5304426377597109,0.9696719482791324,0.5623287671232877
2011,2011_11_20,congresso,I_25,Lleida,0.19897218187911966,0.9252260180022139,0.6968232044198895
2011,2011_11_20,congresso,I_26,La Rioja,0.5559003488840969,0.9885089726476981,0.5472043996333639
