,year,level_1,religiosity
0,2002,voted_pis,0.045573889444737496
1,2004,voted_pis,0.05605604106987014
2,2006,voted_pis,0.23306645801379508
3,2008,voted_pis,0.2774921390554883
4,2010,voted_pis,0.3123769567572413
5,2012,voted_pis,0.3447082581226873
6,2014,voted_pis,0.3313179720139909
7,2016,voted_pis,0.374455823207156
8,2018,voted_pis,0.4104170627602145
9,2020,voted_pis,0.438809369143973
10,2023,voted_pis,0.4618903029930944
