civil_marriage_share_value,civil_marriage_share_se,election_date,model_type,country
-0.014210189099366277,0.06418122745010121,2004_06_12,both_interactions,Italy
0.06231199912810122,0.06399330112634158,2006_04_09,both_interactions,Italy
0.05368969100089001,0.060216824176937966,2008_04_13,both_interactions,Italy
0.08853180084286232,0.06241236679056755,2009_06_07,both_interactions,Italy
0.0631426134676228,0.05620124864798795,2013_02_24,both_interactions,Italy
-0.07361032580817303,0.05789791800917633,2014_05_25,both_interactions,Italy
0.32006073176201916,0.05377499597973534,2018_03_04,both_interactions,Italy
0.19269925396826845,0.05352945821652794,2019_05_26,both_interactions,Italy
-0.005359841682316638,0.06296315397296186,2004_06_12,one_interaction,Italy
0.06432511397606633,0.06449755580507317,2006_04_09,one_interaction,Italy
0.061493001963058985,0.05907873156253342,2008_04_13,one_interaction,Italy
0.044557367924306174,0.06769955061802038,2009_06_07,one_interaction,Italy
0.05749037211707182,0.06458452032844322,2013_02_24,one_interaction,Italy
-0.07206563753368164,0.05985321223938246,2014_05_25,one_interaction,Italy
0.2895971794336827,0.05488377036231418,2018_03_04,one_interaction,Italy
0.21555305609032546,0.058487338451801305,2019_05_26,one_interaction,Italy
-0.18277037874283653,0.0815431863954458,2004_06_12,split_fits,Italy
-0.059158145944261706,0.07041022779988895,2006_04_09,split_fits,Italy
-0.0681582274883624,0.056259363424157514,2008_04_13,split_fits,Italy
-0.15539026200049078,0.09790124712128667,2009_06_07,split_fits,Italy
-0.1334692951103799,0.05753954878270098,2013_02_24,split_fits,Italy
-0.2782853523789016,0.07008337710465087,2014_05_25,split_fits,Italy
0.12040648077520011,0.06076587606147262,2018_03_04,split_fits,Italy
0.04721491408758012,0.07067923246161481,2019_05_26,split_fits,Italy
0.2730760174708511,0.05310157387288424,none,no_interactions,Italy
-0.05525590310185327,0.09196823858139673,2009_06_07,both_interactions,Spain
-0.09140540437976633,0.10199631051406365,2011_11_20,both_interactions,Spain
-0.12118215161216603,0.07432578471304417,2014_05_25,both_interactions,Spain
-0.08931182922601014,0.07317497279192822,2015_12_20,both_interactions,Spain
-0.13124131267248085,0.07779810437573811,2016_06_26,both_interactions,Spain
0.05963944394116555,0.10350085659223114,2019_04_28,both_interactions,Spain
-0.07650627736656217,0.09092033790931245,2019_05_26,both_interactions,Spain
0.05710405306287304,0.09419044185821737,2019_11_10,both_interactions,Spain
-0.1496789100272814,0.1059028130732378,2023_07_23,both_interactions,Spain
-0.24370589175147245,0.1020178717598727,2024_06_09,both_interactions,Spain
-0.07195854248659489,0.0984429951486764,2009_06_07,one_interaction,Spain
-0.037791816362398124,0.11534166475884346,2011_11_20,one_interaction,Spain
-0.10139928408380448,0.08389287955951256,2014_05_25,one_interaction,Spain
